k,features,feature_set,normalization,outlier_pct,silhouette,db_index,ch_score,mean_entropy,valid
2,10,"['enemiesHit', 'damageDone', 'timeInCombat', 'kills', 'itemsCollected', 'pickupAttempts', 'timeNearInteractables', 'distanceTraveled', 'timeSprinting', 'timeOutOfCombat']",minmax_uniform,98,0.3477307616602645,1.19085941417523,1791.1580704219991,0.9204411921202569,True
2,8,"['enemiesHit', 'damageDone', 'timeInCombat', 'kills', 'itemsCollected', 'pickupAttempts', 'distanceTraveled', 'timeSprinting']",minmax_log_sparse,100,0.3455667643929042,1.1521650350675028,1684.4422882171139,0.8595395004805082,True
5,8,"['enemiesHit', 'damageDone', 'timeInCombat', 'kills', 'itemsCollected', 'pickupAttempts', 'distanceTraveled', 'timeSprinting']",minmax_log_sparse,100,0.3432194445638301,1.0351541179432453,2001.5923878976628,2.2812638769426337,True
4,8,"['enemiesHit', 'damageDone', 'timeInCombat', 'kills', 'itemsCollected', 'pickupAttempts', 'distanceTraveled', 'timeSprinting']",minmax_log_sparse,98,0.34277646738250783,1.1866441148719322,1705.674656061629,1.824362709746448,True
2,9,"['enemiesHit', 'damageDone', 'kills', 'itemsCollected', 'pickupAttempts', 'timeNearInteractables', 'distanceTraveled', 'timeSprinting', 'timeOutOfCombat']",minmax_uniform,100,0.34227652636322403,1.1486302635050702,1725.3798559788024,0.8680824822118995,True
4,8,"['enemiesHit', 'damageDone', 'timeInCombat', 'kills', 'itemsCollected', 'pickupAttempts', 'distanceTraveled', 'timeSprinting']",minmax_uniform,98,0.3410307607247755,1.1921797442394122,1647.5926306388453,1.8161929447991225,True
4,8,"['enemiesHit', 'damageDone', 'timeInCombat', 'kills', 'itemsCollected', 'pickupAttempts', 'distanceTraveled', 'timeSprinting']",minmax_log_sparse,100,0.34009465276922496,0.9149660305996712,2069.3788747243498,1.974017245581658,True
5,8,"['enemiesHit', 'damageDone', 'timeInCombat', 'kills', 'itemsCollected', 'pickupAttempts', 'distanceTraveled', 'timeSprinting']",minmax_uniform,100,0.3391667660379645,1.0292317313934813,1920.711372037137,2.283369693453815,True
3,9,"['enemiesHit', 'damageDone', 'kills', 'itemsCollected', 'pickupAttempts', 'timeNearInteractables', 'distanceTraveled', 'timeSprinting', 'timeOutOfCombat']",minmax_log_sparse,100,0.3375018583101755,1.0971452831332185,1827.7622636815722,1.5405289618691456,True
3,10,"['enemiesHit', 'damageDone', 'timeInCombat', 'kills', 'itemsCollected', 'pickupAttempts', 'timeNearInteractables', 'distanceTraveled', 'timeSprinting', 'timeOutOfCombat']",minmax_log_sparse,98,0.3372300643705431,1.1391876299020458,1776.9596859686453,1.5213053188625218,True
3,9,"['enemiesHit', 'damageDone', 'kills', 'itemsCollected', 'pickupAttempts', 'timeNearInteractables', 'distanceTraveled', 'timeSprinting', 'timeOutOfCombat']",minmax_uniform,100,0.3353187209856858,1.1039473868298966,1832.9430624143754,1.539695956918435,True
2,9,"['enemiesHit', 'damageDone', 'kills', 'itemsCollected', 'pickupAttempts', 'timeNearInteractables', 'distanceTraveled', 'timeSprinting', 'timeOutOfCombat']",minmax_log_sparse,100,0.33509073780348536,1.169501575245668,1653.9746959062838,0.8668801884959115,True
3,10,"['enemiesHit', 'damageDone', 'timeInCombat', 'kills', 'itemsCollected', 'pickupAttempts', 'timeNearInteractables', 'distanceTraveled', 'timeSprinting', 'timeOutOfCombat']",minmax_log_sparse,95,0.33499799062985464,1.1627471843760568,1794.3704459368914,1.528863786155411,True
4,8,"['enemiesHit', 'damageDone', 'timeInCombat', 'kills', 'itemsCollected', 'pickupAttempts', 'distanceTraveled', 'timeSprinting']",minmax_log_sparse,95,0.33437589721697397,1.2606922133322511,1749.8152269855507,1.8535362029671076,True
5,8,"['enemiesHit', 'damageDone', 'timeInCombat', 'kills', 'itemsCollected', 'pickupAttempts', 'distanceTraveled', 'timeSprinting']",minmax_log_sparse,95,0.33432736276361863,1.2189706468586838,1580.7957699990059,2.0935941331212553,True
4,8,"['enemiesHit', 'damageDone', 'timeInCombat', 'kills', 'itemsCollected', 'pickupAttempts', 'distanceTraveled', 'timeSprinting']",minmax_uniform,95,0.3341289310010458,1.247440215442077,1712.735100220057,1.8449033920686704,True
