architecture,mse,mae,r2,parameters
"(32, 16)",0.0003619341912284176,0.012038468076372683,0.9308759072913884,769
"(16, 8)",0.0003854491910403674,0.012704779751944036,0.9263848891272095,257
"(32,)",0.00041005908750066264,0.014371019320194996,0.9216847618507644,257
"(8, 4)",0.0006177291799677432,0.016409621470659483,0.8820228369141371,97
"(16,)",0.0014817255253813631,0.028180382247539743,0.7170122771834555,129
"(8,)",0.005809770830533422,0.06116215731127788,-0.10958054596210354,65
