soft_combat,soft_collect,soft_explore,delta_combat,delta_collect,delta_explore,anfis_teacher_output
0.0724857017815737,0.0905378333359617,0.8369764648824646,0.0,0.0,0.0,0.882790134124789
0.1846571578361655,0.5404356904928382,0.2749071516709961,0.1121714560545918,0.4498978571568765,-0.5620693132114685,0.9490682558320787
0.1617013756014828,0.2766068252008229,0.5616917991976943,-0.0229557822346826,-0.2638288652920153,0.2867846475266982,0.8768347013365912
0.1849196908520594,0.53835671995761,0.2767235891903304,0.0232183152505765,0.2617498947567871,-0.2849682100073638,0.9218262377463271
0.0845494892609249,0.842937945026307,0.072512565712768,-0.1003702015911345,0.304581225068697,-0.2042110234775624,0.9013616235342621
0.7263727899233139,0.160445640677813,0.113181569398873,0.641823300662389,-0.6824923043484941,0.040669003686105,1.0248995094300193
0.4608372685704057,0.3169392009039219,0.2222235305256724,-0.2655355213529082,0.1564935602261089,0.1090419611267993,0.8714843585677698
0.1358180039864283,0.2141690951665065,0.6500129008470652,-0.3250192645839774,-0.1027701057374154,0.4277893703213928,0.8207899749303789
0.1909992462415629,0.4607198507227634,0.3482809030356736,0.0551812422551346,0.2465507555562569,-0.3017319978113916,0.925555328987432
0.1910556188256299,0.4576644832609384,0.3512798979134315,5.637258406704371e-05,-0.0030553674618249,0.0029989948777579,0.9019623339593443
0.1911117194083194,0.4529007598963515,0.3559875206953289,5.610058268948337e-05,-0.0047637233645869,0.0047076227818974,0.9017378771037814
0.1907503986364643,0.469501681885232,0.3397479194783036,-0.000361320771855,0.0166009219888805,-0.0162396012170253,0.9031953603061825
0.1909062610645646,0.4645552505443464,0.3445384883910889,0.0001558624281002,-0.0049464313408856,0.0047905689127852,0.9020839467094255
0.8737060120852556,0.0766403289209673,0.049653658993777,0.6827997510206909,-0.387914921623379,-0.2948848293973118,1.0556228348365662
0.1815315297343138,0.5636884168513983,0.2547800534142878,-0.6921744823509417,0.4870480879304308,0.2051263944205107,0.7905353675132771
0.2519764794819595,0.609928660985831,0.1380948595322096,0.0704449497476456,0.0462402441344327,-0.1166851938820781,0.9273372155495628
0.4999741169166293,0.334039329496179,0.1659865535871916,0.2479976374346698,-0.2758893314896519,0.027891694054982,0.9558244289815007
0.1777479018750388,0.5932393329541634,0.2290127651707977,-0.3222262150415905,0.2592000034579844,0.063026211583606,0.8537542902844587
0.1903543556568102,0.4787260566067916,0.330919587736398,0.0126064537817714,-0.1145132763473718,0.1019068225656003,0.899482213533166
0.6306241498712898,0.2104527432396018,0.1589231068891083,0.4402697942144795,-0.2682733133671898,-0.1719964808472897,1.0000975659627145
0.8379718642569105,0.0996542993383393,0.0623738364047501,0.2073477143856207,-0.1107984439012625,-0.0965492704843582,0.9725772801601951
0.3471852744111428,0.4482614046631182,0.2045533209257389,-0.4907865898457677,0.3486071053247789,0.1421794845209888,0.8320238486457588
0.1808762064414137,0.5684066248267688,0.2507171687318175,-0.166309067969729,0.1201452201636505,0.0461638478060785,0.8774589806099385
0.5580944016790769,0.2816318880286619,0.1602737102922611,0.3772181952376632,-0.2867747367981069,-0.0904434584395563,0.9836204669660226
0.1608602101112692,0.2742315218470836,0.5649082680416472,-0.3972341915678076,-0.0074003661815782,0.404634557749386,0.814670303740561
0.18817540733691,0.5088386434309571,0.3029859492321328,0.0273151972256408,0.2346071215838734,-0.2619223188095143,0.9206308333408341
0.5966573403613715,0.2656771212359738,0.1376655384026548,0.4084819330244614,-0.2431615221949832,-0.165320410829478,0.9942746379575182
0.3530586659551089,0.4827097483381048,0.1642315857067863,-0.2435986744062626,0.2170326271021309,0.0265660473041315,0.8763272955408548
0.1911095148553691,0.4531793814110241,0.3557111037336068,-0.1619491510997398,-0.0295303669270807,0.1914795180268205,0.8681066989159045
0.8875514777807488,0.0683339010388359,0.044114621180415,0.6964419629253797,-0.3848454803721881,-0.3115964825531918,1.059224739042284
0.3947377355619428,0.4508059826751137,0.1544562817629435,-0.492813742218806,0.3824720816362777,0.1103416605825284,0.8367166766076422
0.6626625346848589,0.1975600748339686,0.1397773904811725,0.2679247991229161,-0.2532459078411451,-0.0146788912817709,0.9682358441054852
0.5899003041946487,0.2314011579155221,0.1786985378898291,-0.0727622304902102,0.0338410830815534,0.0389211474086566,0.9103746640871268
0.2164844539147421,0.456094580857279,0.3274209652279788,-0.3734158502799065,0.2246934229417569,0.1487224273381496,0.840388250290857
0.0743190510378466,0.860464056658698,0.0652168923034555,-0.1421654028768954,0.4043694758014189,-0.2622040729245232,0.8978016484871023
0.5989535562487316,0.271165358643598,0.1298810851076703,0.524634505210885,-0.5892986980151,0.0646641928042147,1.000523675838141
0.1903112074912486,0.4185218909889527,0.3911669015197986,-0.4086423487574829,0.1473565323453547,0.2612858164121283,0.8265167981198271
0.3045458319350381,0.5389624213659968,0.1564917466989651,0.1142346244437894,0.120440530377044,-0.2346751548208334,0.9413560322840427
0.1880660258318348,0.3911843245346396,0.4207496496335256,-0.1164798061032033,-0.1477780968313572,0.2642579029345605,0.869215285482059
0.4389827530471915,0.3498992213940479,0.2111180255587606,0.2509167272153567,-0.0412851031405916,-0.209631624074765,0.9643448596411668
0.1914401372621787,0.4567037547342865,0.3518561080035347,-0.2475426157850127,0.1068045333402385,0.1407380824447741,0.8579336257603905
0.7203825485932056,0.1773502051390258,0.1022672462677684,0.5289424113310269,-0.2793535495952606,-0.2495888617357663,1.0225680893421378
0.92080429670181,0.0486973920333739,0.0304983112648161,0.2004217481086042,-0.1286528131056519,-0.0717689350029522,0.9745689314965661
0.3554347801055826,0.4724693119922163,0.1720959079022009,-0.5653695165962273,0.4237719199588424,0.1415975966373848,0.8221692066458538
0.3049702770960578,0.4879216058672217,0.2071081170367204,-0.0504645030095248,0.0154522938750053,0.0350122091345194,0.9016652816645859
0.1895104572513938,0.4065564727752383,0.4039330699733678,-0.1154598198446639,-0.0813651330919834,0.1968249529366473,0.8733022055673227
0.1906841692917315,0.426311213572829,0.3830046171354395,0.0011737120403377,0.0197547407975906,-0.0209284528379283,0.9023597077055532
0.75745545711511,0.1421577279440674,0.1003868149408224,0.5667712878233784,-0.2841534856287615,-0.282617802194617,1.0314331971196171
0.1801374998944999,0.6122493141738673,0.2076131859316327,-0.5773179572206101,0.4700915862297998,0.1072263709908102,0.814018092285199
