userId,timestamp,cluster,soft_combat,soft_collect,soft_explore,delta_combat,delta_collect,delta_explore,target_multiplier
6974892348d53c4152cf1421,1769264803.613,1,0.1252779887650714,0.224040436105107,0.6506815751298215,0.0,0.0,0.0,0.7904906722967082
6974892348d53c4152cf1421,1769264833.617,1,0.1092830895634327,0.2515950666619452,0.639121843774622,-0.0159948992016387,0.0275546305568382,-0.0115597313551994,0.788376419956813
6974892348d53c4152cf1421,1769264863.607,1,0.0629824419645685,0.1249593768838288,0.8120581811516027,-0.0463006475988641,-0.1266356897781164,0.1729363373769806,0.7675656382353561
6974892348d53c4152cf1421,1769264893.601,1,0.0911047031105872,0.206646562160529,0.7022487347288837,0.0281222611460187,0.0816871852767001,-0.1098094464227189,0.7972855375755957
6974892348d53c4152cf1421,1769264923.579,1,0.119993376662345,0.3072697375632727,0.5727368857743822,0.0288886735517577,0.1006231754027437,-0.1295118489545015,0.8034265219737509
6974892348d53c4152cf1421,1769264953.61,0,0.8329509867005529,0.1077135256696231,0.059335487629824,0.7129576100382079,-0.1995562118936496,-0.5134013981445582,0.9691516862520867
6974892348d53c4152cf1421,1769264983.588,2,0.1470573874148104,0.4359160208392612,0.4170265917459284,-0.6858935992857425,0.328202495169638,0.3576911041161044,0.6776029026455479
6974892348d53c4152cf1421,1769265013.597,1,0.081586011182138,0.1576266152073371,0.7607873736105248,-0.0654713762326723,-0.278289405631924,0.3437607818645964,0.7584310737108393
6974892348d53c4152cf1421,1769265043.585,1,0.0510677136636651,0.1114634734744249,0.8374688128619099,-0.0305182975184729,-0.0461631417329122,0.076681439251385,0.7735068275703492
6974892348d53c4152cf1421,1769265073.61,1,0.0706437535671095,0.157188219336426,0.7721680270964644,0.0195760399034444,0.045724745862001,-0.0653007857654455,0.7908621546035792
6974892348d53c4152cf1421,1769265103.612,1,0.0314719220807855,0.0672178359700967,0.9013102419491176,-0.039171831486324,-0.0899703833663292,0.1291422148526533,0.7668866841591766
6974892348d53c4152cf1421,1769265133.64,1,0.031357484610085,0.0648404787647055,0.9038020366252094,-0.0001144374707005,-0.0023773572053912,0.0024917946760917,0.7789984829312375
