k,features,feature_set,normalization,outlier_pct,silhouette,db_index,ch_score,mean_entropy,valid
2,10,"['enemiesHit', 'damageDone', 'timeInCombat', 'kills', 'itemsCollected', 'pickupAttempts', 'timeNearInteractables', 'distanceTraveled', 'timeSprinting', 'timeOutOfCombat']",minmax_log_sparse,100,0.3605629965448531,1.1804135931738389,2023.4422205682365,0.9025312342241677,True
2,9,"['enemiesHit', 'damageDone', 'kills', 'itemsCollected', 'pickupAttempts', 'timeNearInteractables', 'distanceTraveled', 'timeSprinting', 'timeOutOfCombat']",minmax_log_sparse,95,0.36031567458560454,1.2115413618649735,1990.7020673157556,0.9080779487819615,True
4,8,"['enemiesHit', 'damageDone', 'timeInCombat', 'kills', 'itemsCollected', 'pickupAttempts', 'distanceTraveled', 'timeSprinting']",minmax_log_sparse,100,0.35725562104067443,1.0963414833074125,2043.8372259594096,1.79514110362764,True
2,8,"['enemiesHit', 'damageDone', 'timeInCombat', 'kills', 'itemsCollected', 'pickupAttempts', 'distanceTraveled', 'timeSprinting']",minmax_uniform,98,0.35580545457961904,1.1835396045213173,1746.9509470439393,0.8915568668835447,True
2,8,"['enemiesHit', 'damageDone', 'timeInCombat', 'kills', 'itemsCollected', 'pickupAttempts', 'distanceTraveled', 'timeSprinting']",robust,98,0.3558054545796149,1.1835396045213173,1746.9509470439393,0.8915568668835447,True
2,10,"['enemiesHit', 'damageDone', 'timeInCombat', 'kills', 'itemsCollected', 'pickupAttempts', 'timeNearInteractables', 'distanceTraveled', 'timeSprinting', 'timeOutOfCombat']",minmax_uniform,95,0.35335795639142326,1.1758223927733702,1860.4471045681837,0.8990250643880371,True
2,10,"['enemiesHit', 'damageDone', 'timeInCombat', 'kills', 'itemsCollected', 'pickupAttempts', 'timeNearInteractables', 'distanceTraveled', 'timeSprinting', 'timeOutOfCombat']",robust,95,0.35335795639142326,1.1758223927733698,1860.4471045681837,0.8990250643880369,True
4,8,"['enemiesHit', 'damageDone', 'timeInCombat', 'kills', 'itemsCollected', 'pickupAttempts', 'distanceTraveled', 'timeSprinting']",minmax_log_sparse,95,0.3474538557421323,1.1628510741584155,2157.2990429202105,1.7862551637023458,True
5,8,"['enemiesHit', 'damageDone', 'timeInCombat', 'kills', 'itemsCollected', 'pickupAttempts', 'distanceTraveled', 'timeSprinting']",minmax_log_sparse,98,0.346173036558438,1.1075033749339138,1893.4150011947954,2.1087377724176446,True
2,10,"['enemiesHit', 'damageDone', 'timeInCombat', 'kills', 'itemsCollected', 'pickupAttempts', 'timeNearInteractables', 'distanceTraveled', 'timeSprinting', 'timeOutOfCombat']",robust,98,0.34553938843342435,1.195042579550463,1743.1914753298752,0.8985744231483169,True
2,10,"['enemiesHit', 'damageDone', 'timeInCombat', 'kills', 'itemsCollected', 'pickupAttempts', 'timeNearInteractables', 'distanceTraveled', 'timeSprinting', 'timeOutOfCombat']",minmax_uniform,98,0.34553938843342435,1.1950425795504627,1743.1914753298752,0.8985744231483169,True
4,8,"['enemiesHit', 'damageDone', 'timeInCombat', 'kills', 'itemsCollected', 'pickupAttempts', 'distanceTraveled', 'timeSprinting']",minmax_log_sparse,98,0.34287137897152653,1.1788773517989042,2076.042183119576,1.7880079802279663,True
2,9,"['enemiesHit', 'damageDone', 'kills', 'itemsCollected', 'pickupAttempts', 'timeNearInteractables', 'distanceTraveled', 'timeSprinting', 'timeOutOfCombat']",minmax_log_sparse,100,0.34223046791205264,1.2604764780585485,1786.4734516470303,0.9131736237247936,True
2,9,"['enemiesHit', 'damageDone', 'kills', 'itemsCollected', 'pickupAttempts', 'timeNearInteractables', 'distanceTraveled', 'timeSprinting', 'timeOutOfCombat']",robust,100,0.3398128337679126,1.1543184958139205,1686.8977377378997,0.9002480864395174,True
2,9,"['enemiesHit', 'damageDone', 'kills', 'itemsCollected', 'pickupAttempts', 'timeNearInteractables', 'distanceTraveled', 'timeSprinting', 'timeOutOfCombat']",minmax_uniform,100,0.3398128337679062,1.1543184958139205,1686.8977377379,0.9002480864395177,True
5,8,"['enemiesHit', 'damageDone', 'timeInCombat', 'kills', 'itemsCollected', 'pickupAttempts', 'distanceTraveled', 'timeSprinting']",minmax_uniform,100,0.3375911326417596,1.03325893862567,1857.3801252668836,2.0851640889058105,True
5,8,"['enemiesHit', 'damageDone', 'timeInCombat', 'kills', 'itemsCollected', 'pickupAttempts', 'distanceTraveled', 'timeSprinting']",robust,100,0.3375911326417552,1.03325893862567,1857.3801252668832,2.08516408890581,True
4,8,"['enemiesHit', 'damageDone', 'timeInCombat', 'kills', 'itemsCollected', 'pickupAttempts', 'distanceTraveled', 'timeSprinting']",minmax_uniform,98,0.3366846839323123,1.1964063372636708,1594.6180894974525,1.785169975939256,True
4,8,"['enemiesHit', 'damageDone', 'timeInCombat', 'kills', 'itemsCollected', 'pickupAttempts', 'distanceTraveled', 'timeSprinting']",robust,98,0.33668468393229467,1.1964063372636704,1594.6180894974525,1.785169975939256,True
3,9,"['enemiesHit', 'damageDone', 'kills', 'itemsCollected', 'pickupAttempts', 'timeNearInteractables', 'distanceTraveled', 'timeSprinting', 'timeOutOfCombat']",robust,100,0.33384001403222957,1.108239849181258,1785.539267691662,1.4285039731607183,True
3,9,"['enemiesHit', 'damageDone', 'kills', 'itemsCollected', 'pickupAttempts', 'timeNearInteractables', 'distanceTraveled', 'timeSprinting', 'timeOutOfCombat']",minmax_uniform,100,0.33384001403221536,1.1082398491812582,1785.5392676916617,1.4285039731607183,True
2,10,"['enemiesHit', 'damageDone', 'timeInCombat', 'kills', 'itemsCollected', 'pickupAttempts', 'timeNearInteractables', 'distanceTraveled', 'timeSprinting', 'timeOutOfCombat']",robust,100,0.3323550123457765,1.1637008820227928,1626.2736262253902,0.8976706620384028,True
2,10,"['enemiesHit', 'damageDone', 'timeInCombat', 'kills', 'itemsCollected', 'pickupAttempts', 'timeNearInteractables', 'distanceTraveled', 'timeSprinting', 'timeOutOfCombat']",minmax_uniform,100,0.3323550123457688,1.1637008820227932,1626.27362622539,0.897670662038403,True
4,8,"['enemiesHit', 'damageDone', 'timeInCombat', 'kills', 'itemsCollected', 'pickupAttempts', 'distanceTraveled', 'timeSprinting']",robust,95,0.3312972732970346,1.25013065544044,1675.1822267691873,1.7894641707883074,True
4,8,"['enemiesHit', 'damageDone', 'timeInCombat', 'kills', 'itemsCollected', 'pickupAttempts', 'distanceTraveled', 'timeSprinting']",minmax_uniform,95,0.3312972732970346,1.2501306554404399,1675.1822267691873,1.7894641707883074,True
3,10,"['enemiesHit', 'damageDone', 'timeInCombat', 'kills', 'itemsCollected', 'pickupAttempts', 'timeNearInteractables', 'distanceTraveled', 'timeSprinting', 'timeOutOfCombat']",minmax_uniform,98,0.3290407045999761,1.1606683615237288,1660.0921266288617,1.4389069594245005,True
3,10,"['enemiesHit', 'damageDone', 'timeInCombat', 'kills', 'itemsCollected', 'pickupAttempts', 'timeNearInteractables', 'distanceTraveled', 'timeSprinting', 'timeOutOfCombat']",robust,98,0.3290407045999761,1.1606683615237285,1660.0921266288617,1.4389069594245005,True
4,8,"['enemiesHit', 'damageDone', 'timeInCombat', 'kills', 'itemsCollected', 'pickupAttempts', 'distanceTraveled', 'timeSprinting']",minmax_uniform,100,0.3287579981457673,0.9384986163393287,1944.6197357166168,1.7860872800929484,True
4,8,"['enemiesHit', 'damageDone', 'timeInCombat', 'kills', 'itemsCollected', 'pickupAttempts', 'distanceTraveled', 'timeSprinting']",robust,100,0.3287579981457631,0.9384986163393287,1944.619735716617,1.7860872800929484,True
3,10,"['enemiesHit', 'damageDone', 'timeInCombat', 'kills', 'itemsCollected', 'pickupAttempts', 'timeNearInteractables', 'distanceTraveled', 'timeSprinting', 'timeOutOfCombat']",robust,95,0.32856923705323127,1.1758030688733032,1711.546164363088,1.4432871903688889,True
3,10,"['enemiesHit', 'damageDone', 'timeInCombat', 'kills', 'itemsCollected', 'pickupAttempts', 'timeNearInteractables', 'distanceTraveled', 'timeSprinting', 'timeOutOfCombat']",minmax_uniform,95,0.32856923705323127,1.1758030688733032,1711.5461643630877,1.4432871903688889,True
5,8,"['enemiesHit', 'damageDone', 'timeInCombat', 'kills', 'itemsCollected', 'pickupAttempts', 'distanceTraveled', 'timeSprinting']",minmax_log_sparse,95,0.32448605370937333,1.1752796319230663,1961.5921054659361,2.065322020549357,True
3,10,"['enemiesHit', 'damageDone', 'timeInCombat', 'kills', 'itemsCollected', 'pickupAttempts', 'timeNearInteractables', 'distanceTraveled', 'timeSprinting', 'timeOutOfCombat']",minmax_log_sparse,95,0.3238154818721501,1.1067170107572109,1880.9386637742982,1.4319449335560441,True
5,8,"['enemiesHit', 'damageDone', 'timeInCombat', 'kills', 'itemsCollected', 'pickupAttempts', 'distanceTraveled', 'timeSprinting']",minmax_uniform,98,0.322891970495482,1.2832301732489166,1456.0531973701572,2.0999555551207187,True
5,8,"['enemiesHit', 'damageDone', 'timeInCombat', 'kills', 'itemsCollected', 'pickupAttempts', 'distanceTraveled', 'timeSprinting']",robust,98,0.3228919704954554,1.2832301732489169,1456.0531973701572,2.0999555551207183,True
5,8,"['enemiesHit', 'damageDone', 'timeInCombat', 'kills', 'itemsCollected', 'pickupAttempts', 'distanceTraveled', 'timeSprinting']",minmax_log_sparse,100,0.321693617142921,1.1458548098306438,1878.211866796296,2.078730888625644,True
3,10,"['enemiesHit', 'damageDone', 'timeInCombat', 'kills', 'itemsCollected', 'pickupAttempts', 'timeNearInteractables', 'distanceTraveled', 'timeSprinting', 'timeOutOfCombat']",minmax_log_sparse,100,0.3208451927502467,1.1819531152005471,1739.6110827240243,1.4553461518899318,True
3,9,"['enemiesHit', 'damageDone', 'kills', 'itemsCollected', 'pickupAttempts', 'timeNearInteractables', 'distanceTraveled', 'timeSprinting', 'timeOutOfCombat']",robust,98,0.32006073643365196,1.180016247467495,1502.0002503585922,1.449854571949207,True
3,9,"['enemiesHit', 'damageDone', 'kills', 'itemsCollected', 'pickupAttempts', 'timeNearInteractables', 'distanceTraveled', 'timeSprinting', 'timeOutOfCombat']",minmax_uniform,98,0.32006073643365196,1.1800162474674951,1502.0002503585922,1.4498545719492075,True
3,9,"['enemiesHit', 'damageDone', 'kills', 'itemsCollected', 'pickupAttempts', 'timeNearInteractables', 'distanceTraveled', 'timeSprinting', 'timeOutOfCombat']",robust,95,0.3187148172572367,1.1984704275672982,1519.0269648586477,1.4552287655607454,True
3,9,"['enemiesHit', 'damageDone', 'kills', 'itemsCollected', 'pickupAttempts', 'timeNearInteractables', 'distanceTraveled', 'timeSprinting', 'timeOutOfCombat']",minmax_uniform,95,0.3187148172572367,1.1984704275672982,1519.0269648586475,1.4552287655607454,True
