architecture,mse,mae,parameters
"(32, 16)",0.0003619341912284176,0.012038468076372683,769
"(16, 8)",0.0003854491910403674,0.012704779751944036,257
"(32,)",0.00041005908750066264,0.014371019320194996,257
"(8, 4)",0.0006177291799677432,0.016409621470659483,97
"(16,)",0.0014817255253813631,0.028180382247539743,129
"(8,)",0.005809770830533422,0.06116215731127788,65
