feature_set,n_features,r2,mae,mse,r2_improvement_vs_soft_only
soft_only,3,0.3056463465052389,0.04780309806381371,0.0036356401676548066,0.0
soft_plus_delta,6,0.9263848891272095,0.012704779751944036,0.0003854491910403674,0.6207385426219706
