timestamp,latency_ms,status_code,error,body_preview,target_multiplier,multiplier_clamped,delta_combat,delta_collect,delta_explore,soft_combat,soft_collect,soft_explore
2026-08-24T10:54:22.938238+00:00,443.83,200,,"{""filtering"":{""passed"":true,""duration_seconds"":30},""normalized_features"":{""enemiesHit"":0.21739130434782608,""damageDone"":",1.0855424663680804,False,0.11833816771427047,-0.04739984205171921,-0.07093832566255126,0.7277938923809016,0.17533385982760258,0.09687224779149582
2026-08-24T10:54:53.384227+00:00,459.08,200,,"{""filtering"":{""passed"":true,""duration_seconds"":30},""normalized_features"":{""enemiesHit"":0.21739130434782608,""damageDone"":",1.0587605965636362,False,0.08283671739998932,-0.03317988943620348,-0.04965682796378587,0.7277938923809016,0.17533385982760258,0.09687224779149582
2026-08-24T10:55:23.845352+00:00,439.27,200,,"{""filtering"":{""passed"":true,""duration_seconds"":30},""normalized_features"":{""enemiesHit"":0.21739130434782608,""damageDone"":",1.0378441311455313,False,0.05798570217999255,-0.023225922605342425,-0.034759779574650124,0.7277938923809016,0.17533385982760258,0.09687224779149582
2026-08-24T10:55:54.286913+00:00,457.44,200,,"{""filtering"":{""passed"":true,""duration_seconds"":30},""normalized_features"":{""enemiesHit"":0.21739130434782608,""damageDone"":",1.0232026053528571,False,0.04058999152599474,-0.01625814582373969,-0.024331845702255078,0.7277938923809016,0.17533385982760258,0.09687224779149582
2026-08-24T10:56:24.746216+00:00,440.22,200,,"{""filtering"":{""passed"":true,""duration_seconds"":30},""normalized_features"":{""enemiesHit"":0.21739130434782608,""damageDone"":",1.0129535372979859,False,0.028412994068196307,-0.011380702076617788,-0.017032291991578546,0.7277938923809016,0.17533385982760258,0.09687224779149582
2026-08-24T10:56:55.187111+00:00,419.79,200,,"{""filtering"":{""passed"":true,""duration_seconds"":30},""normalized_features"":{""enemiesHit"":0.21739130434782608,""damageDone"":",1.0057791896595758,False,0.01988909584773746,-0.007966491453632457,-0.011922604394104988,0.7277938923809016,0.17533385982760258,0.09687224779149582
2026-08-24T10:57:25.607899+00:00,404.58,200,,"{""filtering"":{""passed"":true,""duration_seconds"":30},""normalized_features"":{""enemiesHit"":0.21739130434782608,""damageDone"":",1.0004712681813812,False,0.01392236709341621,-0.005576544017542734,-0.00834582307587349,0.7277938923809016,0.17533385982760258,0.09687224779149582
2026-08-24T10:57:56.013320+00:00,442.6,200,,"{""filtering"":{""passed"":true,""duration_seconds"":30},""normalized_features"":{""enemiesHit"":0.21739130434782608,""damageDone"":",0.9966965420629597,False,0.009745656965391314,-0.0039035808122799,-0.005842076153111442,0.7277938923809016,0.17533385982760258,0.09687224779149582
2026-08-24T10:58:26.458508+00:00,439.09,200,,"{""filtering"":{""passed"":true,""duration_seconds"":30},""normalized_features"":{""enemiesHit"":0.21739130434782608,""damageDone"":",0.9940542337800649,False,0.006821959875773942,-0.002732506568595916,-0.004089453307178012,0.7277938923809016,0.17533385982760258,0.09687224779149582
2026-08-24T10:58:56.899022+00:00,434.82,200,,"{""filtering"":{""passed"":true,""duration_seconds"":30},""normalized_features"":{""enemiesHit"":0.21739130434782608,""damageDone"":",0.9922046179820381,False,0.0047753719130417815,-0.0019127545980171523,-0.0028626173150246154,0.7277938923809016,0.17533385982760258,0.09687224779149582
2026-08-24T10:59:27.335731+00:00,437.51,200,,"{""filtering"":{""passed"":true,""duration_seconds"":30},""normalized_features"":{""enemiesHit"":0.21739130434782608,""damageDone"":",0.9909098869234196,False,0.0033427603391292804,-0.0013389282186120066,-0.002003832120517232,0.7277938923809016,0.17533385982760258,0.09687224779149582
2026-08-24T10:59:57.774135+00:00,491.35,200,,"{""filtering"":{""passed"":true,""duration_seconds"":30},""normalized_features"":{""enemiesHit"":0.21739130434782608,""damageDone"":",0.9900035751823864,False,0.002339932237390485,-0.0009372497530283908,-0.0014026824843620528,0.7277938923809016,0.17533385982760258,0.09687224779149582
2026-08-24T11:00:28.266777+00:00,470.04,200,,"{""filtering"":{""passed"":true,""duration_seconds"":30},""normalized_features"":{""enemiesHit"":0.21739130434782608,""damageDone"":",0.9893691569636638,False,0.001637952566173273,-0.0006560748271198791,-0.0009818777390534356,0.7277938923809016,0.17533385982760258,0.09687224779149582
