session_id,injection_point,condition,window_index,target_multiplier,multiplier_clamped,delta_combat,delta_collect,delta_explore,soft_combat,soft_collect,soft_explore,profile
ip5-s0,5,control,0,1.091349044823551,false,0.10547333846512608,-0.04442734672066989,-0.06104599174445624,0.684911128217087,0.1852421775977671,0.12984669418514586,stationary
ip5-s0,5,control,1,1.0629172510509546,false,0.08619035694736582,-0.033896014527699525,-0.05229434241966621,0.7261078616230121,0.17591927152033163,0.09797286685665643,stationary
ip5-s0,5,control,2,1.0346198659788313,false,0.07143364134166064,-0.03270176996875834,-0.03873187137290232,0.7631091665513609,0.14600407218910275,0.09088676125953644,stationary
ip5-s0,5,control,3,1.0092928740663056,false,-0.019922071816876885,0.03219391581335107,-0.012271843996474241,0.5300237640312297,0.32962125482737575,0.1403549811413945,stationary
ip5-s0,5,control,4,1.023409766250288,false,0.052077776769928086,-0.029943564361079172,-0.022134212408848913,0.7501011875037027,0.1546902367259594,0.09520857577033794,stationary
ip5-s0,5,control,5,1.0050537595860998,false,0.04070645559573327,-0.022613837390983327,-0.018092618204749944,0.764274560359648,0.14917909559853312,0.08654634404181892,stationary
ip5-s0,5,control,6,1.0120028447515075,false,0.013459670637283594,-0.007834812231114291,-0.005624858406169303,0.7141583994272157,0.17582867540711322,0.11001292516567117,stationary
ip5-s0,5,control,7,0.9867206166565676,false,0.03197010976197345,-0.019066192157222883,-0.0129039176047505,0.7893195338134653,0.13055593008897023,0.08012453609756448,stationary
ip5-s0,5,control,8,0.9622909013148182,false,0.040956057795940914,-0.025240683566562255,-0.015715374229378687,0.851242803688664,0.09090809990061609,0.05784909641072001,stationary
ip5-s0,5,control,9,0.9735089326030137,false,0.004985960621652241,-0.0025962881534826454,-0.0023896724681696097,0.7722985375703093,0.14114873437765252,0.08655272805203827,stationary
ip5-s0,5,control,10,0.9887417424387723,false,-0.0249097393162816,0.019984931895114133,0.004924807421167493,0.6776321650655153,0.21382317971949247,0.10854465521499235,stationary
ip5-s0,5,control,11,0.982090450652215,false,0.008280999732703243,-0.006840857164718578,-0.0014401425679847202,0.7633582225791832,0.14438881474849766,0.09225296267231911,stationary
ip5-s0,5,control,12,1.0056241358318727,false,-0.01921227782803303,0.009077336497707839,0.010134941330325081,0.679994963776099,0.19060860312520048,0.12939643309870041,stationary
ip5-s0,5,control,13,0.9730555553131248,false,0.020694555816408777,-0.011258863710183253,-0.009435692106225593,0.7938054647628721,0.13189860559660466,0.07429592964052323,stationary
ip5-s0,5,control,14,1.003246557504195,false,-0.01761470203016413,0.008596666370579764,0.00901803565958427,0.6868024944240378,0.18682484215563147,0.12637266342033057,stationary
ip5-s0,5,control,15,1.0097871456999767,false,-0.012676351891267146,0.00547450418279416,0.0072018477084730415,0.68564895952353,0.1850143012335925,0.1293367392428774,stationary
ip5-s0,5,control,16,0.998811656442228,false,-0.0005432035571948379,0.0020688703713663825,-0.0015256668141715168,0.713416435412504,0.17913669271162747,0.10744687187586859,stationary
ip5-s0,5,control,17,0.9834361473086868,false,0.015915401469344226,-0.008191707980115925,-0.007723693489228342,0.7677352486104396,0.14700363524471943,0.08526111614484096,stationary
ip5-s0,5,control,18,0.9793839833925182,false,0.012748339305976852,-0.007492877702150347,-0.005255461603826436,0.7730937762018922,0.14114136152448878,0.08576486227361896,stationary
ip5-s0,5,control,19,0.9847366109617175,false,-0.006107113093441363,0.006345094346296043,-0.0002379812528547215,0.7229906075098086,0.17977505731715973,0.0972343351730316,stationary
ip5-s0,5,injected,0,1.091349044823551,false,0.10547333846512608,-0.04442734672066989,-0.06104599174445624,0.684911128217087,0.1852421775977671,0.12984669418514586,stationary
ip5-s0,5,injected,1,1.0629172510509546,false,0.08619035694736582,-0.033896014527699525,-0.05229434241966621,0.7261078616230121,0.17591927152033163,0.09797286685665643,stationary
ip5-s0,5,injected,2,1.0346198659788313,false,0.07143364134166064,-0.03270176996875834,-0.03873187137290232,0.7631091665513609,0.14600407218910275,0.09088676125953644,stationary
ip5-s0,5,injected,3,1.0092928740663056,false,-0.019922071816876885,0.03219391581335107,-0.012271843996474241,0.5300237640312297,0.32962125482737575,0.1403549811413945,stationary
ip5-s0,5,injected,4,1.023409766250288,false,0.052077776769928086,-0.029943564361079172,-0.022134212408848913,0.7501011875037027,0.1546902367259594,0.09520857577033794,stationary
ip5-s0,5,injected,5,1.0803292403994902,false,0.1292823681078944,-0.05524627132044008,-0.07403609678745432,0.764274560359648,0.14917909559853312,0.08654634404181892,stationary
ip5-s0,5,injected,6,1.0644735810953734,false,0.07546280939579636,-0.030677515981734016,-0.044785293414062344,0.7141583994272157,0.17582867540711322,0.11001292516567117,stationary
ip5-s0,5,injected,7,1.0236056022551292,false,0.0753723068929324,-0.035056084782656705,-0.04031622211027566,0.7893195338134653,0.13055593008897023,0.08012453609756448,stationary
ip5-s0,5,injected,8,0.9881103912338112,false,0.07133759578761223,-0.036433608404365936,-0.03490398738324632,0.851242803688664,0.09090809990061609,0.05784909641072001,stationary
ip5-s0,5,injected,9,0.9923338975773115,false,0.026253037215822173,-0.010431335539945213,-0.01582170167587693,0.7722985375703093,0.14114873437765252,0.08655272805203827,stationary
ip5-s0,5,injected,10,1.00230102132941,false,-0.010022785700362746,0.01450039872459033,-0.004477613024227639,0.6776321650655153,0.21382317971949247,0.10854465521499235,stationary
ip5-s0,5,injected,11,0.9912863133977667,false,0.018701867263846483,-0.010680030384085215,-0.008021836879761296,0.7633582225791832,0.14438881474849766,0.09225296267231911,stationary
ip5-s0,5,injected,12,1.012268182488285,false,-0.011917670556232718,0.0063899152441511675,0.005527755312081467,0.679994963776099,0.19060860312520048,0.12939643309870041,stationary
ip5-s0,5,injected,13,0.9773950369838103,false,0.02580078090666904,-0.013140058587672893,-0.01266072231899612,0.7938054647628721,0.13189860559660466,0.07429592964052323,stationary
ip5-s0,5,injected,14,1.0065021403658374,false,-0.014040344466981991,0.007279829956336997,0.0067605145106449105,0.6868024944240378,0.18682484215563147,0.12637266342033057,stationary
ip5-s0,5,injected,15,1.0120660537031265,false,-0.010174301597039692,0.004552718692824226,0.005621582904215494,0.68564895952353,0.1850143012335925,0.1293367392428774,stationary
ip5-s0,5,injected,16,1.0004068920444327,false,0.0012082316487643796,0.0014236205283874315,-0.0026318521771517833,0.713416435412504,0.17913669271162747,0.10744687187586859,stationary
ip5-s0,5,injected,17,0.9845528122302298,false,0.017141406113515778,-0.008643382870201194,-0.008498023243314543,0.7677352486104396,0.14700363524471943,0.08526111614484096,stationary
ip5-s0,5,injected,18,0.9801656488375989,false,0.013606542556896861,-0.007809050125210049,-0.005797492431686785,0.7730937762018922,0.14114136152448878,0.08576486227361896,stationary
ip5-s0,5,injected,19,0.9852837767732738,false,-0.005506370817797257,0.006123773650154263,-0.0006174028323569641,0.7229906075098086,0.17977505731715973,0.0972343351730316,stationary
ip5-s1,5,control,0,1.0513465294117492,false,0.16294199460846276,-0.07759191164353407,-0.08535008296492874,0.8764733153615426,0.0746936278548865,0.04883305678357083,stationary
ip5-s1,5,control,1,1.0267092995178067,false,0.09784509282116327,-0.04438883481848141,-0.05345625800268189,0.8224256373456738,0.10777863896152791,0.06979572369279832,stationary
ip5-s1,5,control,2,1.014568556098093,false,0.050545959063740264,-0.017442856910398097,-0.03310310215334214,0.762606950975427,0.1532097305033242,0.08418331852124888,stationary
ip5-s1,5,control,3,1.008185515007631,false,0.03283791711309636,-0.012821987097640236,-0.020015930015456096,0.7541261035370208,0.15116977296878567,0.09470412349419355,stationary
ip5-s1,5,control,4,1.01214025968218,false,0.010889737639357522,-0.002013352251576228,-0.008876385387781377,0.7138034224043214,0.17437656869135876,0.11182000890431987,stationary
ip5-s1,5,control,5,0.9910718273121566,false,0.026543182700164425,-0.012905217532637098,-0.013637965167527313,0.7768713102463685,0.13605699883624625,0.08707169091738538,stationary
ip5-s1,5,control,6,0.9994059607939827,false,0.003796609452714539,-0.0006307747831421628,-0.003165834669572501,0.7275925821217002,0.16406659046859234,0.10834082740970744,stationary
ip5-s1,5,control,7,0.9914071617716389,false,0.009475586347339915,-0.004247796359907657,-0.0052277899874322575,0.750319114556499,0.1513790770962319,0.09830180834726908,stationary
ip5-s1,5,control,8,1.0027401997927277,false,-0.019284165835275258,0.01731736296075395,0.001966802874521223,0.6639288602951219,0.2190151451385296,0.11705599456634845,stationary
ip5-s1,5,control,9,1.001925077657405,false,0.003948324465638753,-0.0033799424709472226,-0.0005683819946914609,0.7220863287962264,0.16734148999361295,0.1105721812101607,stationary
ip5-s1,5,control,10,0.9785387879891931,false,0.025486778243834385,-0.015672561042823857,-0.009814217201010556,0.7978294991891841,0.12298615228307694,0.07918434852773891,stationary
ip5-s1,5,control,11,0.9891421389084218,false,0.00009581757547716396,-0.0003289878795238177,0.00023317030404672312,0.7386797418718276,0.15845883511791983,0.10286142301025263,stationary
ip5-s1,5,control,12,0.982741812205794,false,0.004228200148289507,-0.0014962288792044476,-0.0027319712690850456,0.7525501680233458,0.15423904390612728,0.09321078807052682,stationary
ip5-s1,5,control,13,0.9676044350455106,false,0.020703215050556945,-0.013054543455184836,-0.007648671595372053,0.8116950845125267,0.1142150997736549,0.0740898157138184,stationary
ip5-s1,5,control,14,0.9782434956699981,false,-0.0027910093362898403,0.0014329766478245465,0.0013580326884653632,0.7540842182735944,0.149452289995168,0.09646349173123774,stationary
ip5-s1,5,control,15,1.0006872150822164,false,-0.0241920281161635,0.0138229037704371,0.0103691243457264,0.6799564796710592,0.19218502371836765,0.1278584966105732,stationary
ip5-s1,5,control,16,0.9907330226652,false,-0.001224457471874607,0.001059690229356286,0.00016476724251834884,0.7323230203691917,0.16346388235186876,0.10421309727893943,stationary
ip5-s1,5,control,17,0.9718374766074624,false,0.016645107525245173,-0.008324908977170115,-0.008320198548075114,0.7906637795543833,0.13324157522613705,0.07609464521947959,stationary
ip5-s1,5,control,18,0.9916627997446674,false,-0.037975693215103634,0.029977946087560325,0.007997747127543212,0.6252395512784661,0.2525928497980684,0.12216759892346557,stationary
ip5-s1,5,control,19,0.987332909873684,false,0.012189055503018853,-0.008553341561749472,-0.0036357139412693668,0.7544796871237703,0.1541331703879294,0.09138714248830017,stationary
ip5-s1,5,injected,0,1.0513465294117492,false,0.16294199460846276,-0.07759191164353407,-0.08535008296492874,0.8764733153615426,0.0746936278548865,0.04883305678357083,stationary
ip5-s1,5,injected,1,1.0267092995178067,false,0.09784509282116327,-0.04438883481848141,-0.05345625800268189,0.8224256373456738,0.10777863896152791,0.06979572369279832,stationary
ip5-s1,5,injected,2,1.014568556098093,false,0.050545959063740264,-0.017442856910398097,-0.03310310215334214,0.762606950975427,0.1532097305033242,0.08418331852124888,stationary
ip5-s1,5,injected,3,1.008185515007631,false,0.03283791711309636,-0.012821987097640236,-0.020015930015456096,0.7541261035370208,0.15116977296878567,0.09470412349419355,stationary
ip5-s1,5,injected,4,1.01214025968218,false,0.010889737639357522,-0.002013352251576228,-0.008876385387781377,0.7138034224043214,0.17437656869135876,0.11182000890431987,stationary
ip5-s1,5,injected,5,1.0798074061693679,false,0.13306139307391052,-0.059182900349126155,-0.07387849272478442,0.7768713102463685,0.13605699883624625,0.08707169091738538,stationary
ip5-s1,5,injected,6,1.062088229423913,false,0.07835935671433686,-0.033025152754684484,-0.04533420395965246,0.7275925821217002,0.16406659046859234,0.10834082740970744,stationary
ip5-s1,5,injected,7,1.0351789655175712,false,0.061669509430475444,-0.02692386093998725,-0.034745648490488196,0.750319114556499,0.1513790770962319,0.09830180834726908,stationary
ip5-s1,5,injected,8,1.0263152738262238,false,0.017251580322919735,0.001444117754698243,-0.01869569807761795,0.6639288602951219,0.2190151451385296,0.11705599456634845,stationary
ip5-s1,5,injected,9,1.023672758362891,false,0.029523346776375137,-0.014491214115186224,-0.015032132661188885,0.7220863287962264,0.16734148999361295,0.1105721812101607,stationary
ip5-s1,5,injected,10,0.9934525767277251,false,0.04338929386134993,-0.02345045119379116,-0.01993884266755877,0.7978294991891841,0.12298615228307694,0.07918434852773891,stationary
ip5-s1,5,injected,11,1.0003744142361035,false,0.012627578507737991,-0.005773510985200958,-0.006854067522537005,0.7386797418718276,0.15845883511791983,0.10286142301025263,stationary
ip5-s1,5,injected,12,0.9906044049351705,false,0.013000432800872042,-0.005307395053178426,-0.007693037747693657,0.7525501680233458,0.15423904390612728,0.09321078807052682,stationary
ip5-s1,5,injected,13,0.9727198645828266,false,0.026843777907364696,-0.01572235977696662,-0.011121418130398075,0.8116950845125267,0.1142150997736549,0.0740898157138184,stationary
ip5-s1,5,injected,14,0.9820961661073926,false,0.0015073846634755528,-0.00043449477742268927,-0.0010728898860528496,0.7540842182735944,0.149452289995168,0.09646349173123774,stationary
ip5-s1,5,injected,15,1.0033840843883928,false,-0.021183152316327614,0.012515673772764024,0.008667478543563645,0.6799564796710592,0.19218502371836765,0.1278584966105732,stationary
ip5-s1,5,injected,16,0.992620831179523,false,0.0008817555880104022,0.00014462923098512714,-0.0010263848189955849,0.7323230203691917,0.16346388235186876,0.10421309727893943,stationary
ip5-s1,5,injected,17,0.9731589425674878,false,0.018119456667164746,-0.008965451676029912,-0.009154004991134862,0.7906637795543833,0.13324157522613705,0.07609464521947959,stationary
ip5-s1,5,injected,18,0.9923287372354481,false,-0.03694364881575973,0.029529566198358448,0.007414082617401382,0.6252395512784661,0.2525928497980684,0.12216759892346557,stationary
ip5-s1,5,injected,19,0.9879804281940967,false,0.012911486582559362,-0.008867207484190759,-0.004044279098368644,0.7544796871237703,0.1541331703879294,0.09138714248830017,stationary
ip5-s2,5,control,0,1.0895250775261076,false,0.11953080621757478,-0.049877770603966864,-0.06965303561360786,0.7317693540585826,0.16707409798677708,0.10115654795464044,stationary
ip5-s2,5,control,1,1.0530881332392397,false,0.09421694406362557,-0.04262430774414919,-0.05159263631947633,0.7669206197629932,0.14137453691553584,0.091704843321471,stationary
ip5-s2,5,control,2,1.034646773066928,false,0.06077521972718303,-0.026671490992467323,-0.034103728734715816,0.7496651493718107,0.15192628501032618,0.09840856561786307,stationary
ip5-s2,5,control,3,1.0197887730888102,false,0.04329263980902953,-0.0196676337361599,-0.02362500607286966,0.7521651027051485,0.14860098487221696,0.09923391242263446,stationary
ip5-s2,5,control,4,0.9939785560240977,false,-0.0447312076194053,0.04769979345538902,-0.0029685858359836947,0.5020449177527285,0.3534914417745535,0.14446364047271804,stationary
ip5-s2,5,control,5,1.0241366906949128,false,0.005307794594246795,0.0020029844946196085,-0.007310779088866487,0.6241103841788306,0.2488685386940444,0.12702107712712501,stationary
ip5-s2,5,control,6,1.0192464724998782,false,0.036081051756873594,-0.023424109169107643,-0.012656942587765924,0.7319957026484998,0.16611454430957326,0.10188975304192702,stationary
ip5-s2,5,control,7,0.9867905259839276,false,-0.05910827697469767,0.05337355299606178,0.005734723978635836,0.4507789919668028,0.3986826423576969,0.15053836567550039,stationary
ip5-s2,5,control,8,1.0201825847764379,false,0.04266756106544001,-0.030327051445096093,-0.012340509620343929,0.7309235084592306,0.17305418054989916,0.09602231099087029,stationary
ip5-s2,5,control,9,1.0333696352927488,false,0.01420622667023197,-0.01577934069102474,0.0015731140207927569,0.6787199548739771,0.19121949828504098,0.130060546840982,stationary
ip5-s2,5,control,10,0.9946430664832611,false,0.043163130167656494,-0.02928046957569505,-0.013882660591961513,0.7894491932022909,0.13043639464511517,0.08011441215259385,stationary
ip5-s2,5,control,11,1.017974344925196,false,-0.0004287641488206484,-0.003985628738891495,0.004414392887712101,0.6873060089816903,0.1854720611920987,0.127221929826211,stationary
ip5-s2,5,control,12,1.016869884140216,false,-0.00027909095234068815,-0.0020858202830248973,0.0023649112353655993,0.6873761554878026,0.18781912730609582,0.12480471720610148,stationary
ip5-s2,5,control,13,0.9821353534049428,false,0.03416227031204211,-0.021170674626208474,-0.01299159568583362,0.8019016020834047,0.12211712587912564,0.07598127203746971,stationary
ip5-s2,5,control,14,0.9868535692045532,false,0.009101984771763938,-0.005216261809802614,-0.0038857229619613243,0.7525295872611862,0.15412782730760338,0.09334258543121038,stationary
ip5-s2,5,control,15,0.9992379398200224,false,-0.007510631505476595,0.0037692808062005922,0.003741350699276086,0.7062561844421482,0.1788633742178114,0.1148804413400404,stationary
