trial_id,strategy,window_index,target_multiplier,multiplier_clamped,mlp_output,soft_combat,soft_collect,soft_explore,delta_combat,delta_collect,delta_explore
0,pure_archetype_corner,0,1.0739610913694946,false,0.9685815456847473,0.6236645635417045,0.21991361860473677,0.15642181785355866,0.08709936906251131,-0.034025914418578995,-0.05307345464393243
1,pure_archetype_corner,0,1.0740708454960337,false,0.9686364227480169,0.6240593048427893,0.21969830346276328,0.1562423916944475,0.08721779145283676,-0.034090508961170995,-0.05312728249166576
2,pure_archetype_corner,0,1.074966900529454,false,0.969084450264727,0.6274206796666851,0.2180005465404125,0.1545787737929024,0.08822620390000552,-0.03459983603787625,-0.053626367862129265
3,pure_archetype_corner,0,1.074424081248117,false,0.9688130406240585,0.6255241923205247,0.21908965265139294,0.1553861550280824,0.0876572576961574,-0.03427310420458213,-0.05338415349157527
4,pure_archetype_corner,0,1.0740473504385948,false,0.9686246752192974,0.6240110941003837,0.21976013490789112,0.15622877099172516,0.08720332823011506,-0.0340719595276327,-0.05313136870248247
5,pure_archetype_corner,0,1.0744145877328286,false,0.9688082938664143,0.6253062204635357,0.21902855440386743,0.15566522513259695,0.08759186613906073,-0.0342914336788398,-0.053300432460220926
6,pure_archetype_corner,0,1.0739610913694946,false,0.9685815456847473,0.6236645635417045,0.21991361860473677,0.15642181785355866,0.08709936906251131,-0.034025914418578995,-0.05307345464393243
7,pure_archetype_corner,0,1.0741214278742748,false,0.9686617139371374,0.6243086623955036,0.21962831569174746,0.15606302191274896,0.08729259871865108,-0.03411150529247575,-0.05318109342617533
8,pure_archetype_corner,0,1.0749681496370294,false,0.9690850748185147,0.6275216313975575,0.21803992861024302,0.15443843999219956,0.08825648941926723,-0.03458802141692713,-0.05366846800234015
9,pure_archetype_corner,0,1.074520900830554,false,0.968861450415277,0.6259129710339302,0.21891730158141354,0.15516972738465626,0.08777389131017904,-0.03432480952557593,-0.053449081784603114
10,pure_archetype_corner,0,1.0743553585654788,false,0.9687786792827394,0.625088660991358,0.21914278270778656,0.15576855630085543,0.08752659829740739,-0.03425716518766403,-0.05326943310974336
11,pure_archetype_corner,0,1.074442580729533,false,0.9688222903647665,0.6254971893373438,0.21901279469233065,0.15549001597032558,0.08764915680120311,-0.03429616159230081,-0.053352995208902354
12,pure_archetype_corner,0,1.074273201742264,false,0.968737600871132,0.6248252209659078,0.21931785487081404,0.1558569241632782,0.0874475662897723,-0.0342046435387558,-0.05324292275101655
13,pure_archetype_corner,0,1.074217080778227,false,0.9687095403891135,0.6246928662607655,0.21945808913794512,0.15584904460128937,0.08740785987822963,-0.03416257325861649,-0.0532452866196132
14,pure_archetype_corner,0,1.074535337588917,false,0.9688686687944585,0.6258171517552273,0.21882490644572358,0.15535794179904905,0.0877451455265682,-0.03435252806628292,-0.053392617460285285
15,pure_archetype_corner,0,1.0741500762547196,false,0.9686760381273598,0.6243803718573531,0.21955852740437407,0.15606110073827278,0.08731411155720592,-0.034132441778687794,-0.05318166977851818
16,pure_archetype_corner,0,1.0743326918419036,false,0.9687673459209518,0.6250878105634461,0.2192222364048609,0.15568995303169295,0.0875263431690338,-0.03423332907854176,-0.05329301409049214
17,pure_archetype_corner,0,1.0746269815157947,false,0.9689144907578974,0.6260938725367114,0.21862218437621705,0.15528394308707152,0.08782816176101343,-0.03441334468713492,-0.05341481707387857
