session_id,injection_point,condition,window_index,target_multiplier,multiplier_clamped,delta_combat,delta_collect,delta_explore,soft_combat,soft_collect,soft_explore
ip5-s0,5,control,0,1.091349044823551,false,0.10547333846512608,-0.04442734672066989,-0.06104599174445624,0.684911128217087,0.1852421775977671,0.12984669418514586
ip5-s0,5,control,1,1.0597349209426956,false,0.08943422503682891,-0.035846126793369126,-0.05358809824345975,0.7369207552545557,0.169418897301433,0.09366034744401132
ip5-s0,5,control,2,1.0213879600238736,false,0.08325515891912294,-0.039855278544508654,-0.04339988037461434,0.8057580932323649,0.12020893133759884,0.07403297543003617
ip5-s0,5,control,3,0.9941082131948658,false,-0.047496193756263794,0.05448701562017316,-0.006990821863909341,0.45317540990019867,0.3948279666753629,0.1519966234244385
ip5-s0,5,control,4,1.0028728892732206,false,0.07956660316866226,-0.04828181286648431,-0.03128479030217801,0.8292218725603552,0.10675222067334442,0.06402590676630032
ip5-s0,5,control,5,1.0045147184824799,false,0.029791743446463292,-0.015646407233136456,-0.014145336213326795,0.7428722766550206,0.16725509325135302,0.08987263009362632
ip5-s0,5,control,6,0.9885827227450557,false,0.03374280315220435,-0.020765783616403632,-0.012977019535800743,0.785834219120621,0.13454409807399262,0.07962168280538637
ip5-s0,5,control,7,1.0048741733041509,false,-0.00606251325630347,0.005087270702455571,0.0009752425538479131,0.6868926342444658,0.19995516218711964,0.11315220356841446
ip5-s0,5,control,8,1.0083094356774405,false,0.0001363926122035508,-0.001996896662390113,0.001860504050186576,0.7014931405498526,0.18142854167342293,0.1170783177767246
ip5-s0,5,control,9,1.0082716224845611,false,-0.007151448733581867,0.00627940253184639,0.0008720462017354352,0.6773367286761047,0.2070193089918212,0.11564396233207404
ip5-s0,5,control,10,0.9784860728377645,false,-0.09909608812205595,0.0721287693495671,0.02696731877248884,0.3637031486476092,0.43279660091606986,0.2035002504363209
ip5-s0,5,control,11,1.0145633279733295,false,0.049379427883537885,-0.03459049228210123,-0.01478893560143657,0.7595254472108659,0.14919449816007593,0.09128005462905825
ip5-s0,5,control,12,0.9771289848258433,false,0.06384870450138724,-0.04319312693875235,-0.020655577562634878,0.8571357971539016,0.08592855702247099,0.05693564582362738
ip5-s0,5,control,13,1.0067064852906402,false,-0.06483856763091045,0.04137594508574616,0.023462622545164305,0.49202692788096336,0.32463233683204695,0.18334073528698974
ip5-s0,5,control,14,0.9612933134303216,false,0.0805248640218108,-0.052397471060333656,-0.02812739296147719,0.9117331324257905,0.05343022809752715,0.03483663947668244
ip5-s0,5,control,15,1.0245895869245976,false,-0.043813085394328155,0.019353518722511454,0.024459566671816715,0.5777981650604713,0.24020272298001052,0.1819991119595182
ip5-s0,5,control,16,0.9968208470191946,false,0.017747809274968107,-0.007571037592634805,-0.010176771682333358,0.7391880618971309,0.16980772065203442,0.09100421745083472
ip5-s0,5,control,17,0.9846064407965343,false,-0.09717340414474462,0.06764226657396957,0.029531137570775023,0.37386515977305645,0.41294769694808087,0.21318714327886262
ip5-s0,5,control,18,1.0147862621653758,false,-0.043256190902787206,0.028214202328091076,0.015041988574696186,0.4564157997681697,0.3491630827024554,0.19442111752937494
ip5-s0,5,control,19,0.9643089737365982,false,-0.07884460160575807,0.05807130666071214,0.020773294945045928,0.29453157318881307,0.47690096613928346,0.22856746067190353
ip5-s0,5,injected,0,1.091349044823551,false,0.10547333846512608,-0.04442734672066989,-0.06104599174445624,0.684911128217087,0.1852421775977671,0.12984669418514586
ip5-s0,5,injected,1,1.0597349209426956,false,0.08943422503682891,-0.035846126793369126,-0.05358809824345975,0.7369207552545557,0.169418897301433,0.09366034744401132
ip5-s0,5,injected,2,1.0213879600238736,false,0.08325515891912294,-0.039855278544508654,-0.04339988037461434,0.8057580932323649,0.12020893133759884,0.07403297543003617
ip5-s0,5,injected,3,0.9941082131948658,false,-0.047496193756263794,0.05448701562017316,-0.006990821863909341,0.45317540990019867,0.3948279666753629,0.1519966234244385
ip5-s0,5,injected,4,1.0028728892732206,false,0.07956660316866226,-0.04828181286648431,-0.03128479030217801,0.8292218725603552,0.10675222067334442,0.06402590676630032
ip5-s0,5,injected,5,1.0836376268200771,false,0.12286168299650618,-0.049823472024594084,-0.0730382109719121,0.7428722766550206,0.16725509325135302,0.08987263009362632
ip5-s0,5,injected,6,1.0439687585813737,false,0.0988917608372345,-0.044689728970424,-0.05420203186681047,0.785834219120621,0.13454409807399262,0.07962168280538637
ip5-s0,5,injected,7,1.0403930701990312,false,0.0395417571232175,-0.011659491045358683,-0.027882266077858903,0.6868926342444658,0.19995516218711964,0.11315220356841446
ip5-s0,5,injected,8,1.0360970479536156,false,0.032059381877868276,-0.01371962988586009,-0.018339751992008185,0.7014931405498526,0.18142854167342293,0.1170783177767246
ip5-s0,5,injected,9,1.0253540581135558,false,0.015194643752383441,-0.0019265107245826085,-0.013268133027800916,0.6773367286761047,0.2070193089918212,0.11564396233207404
ip5-s0,5,injected,10,0.9788503438116802,false,-0.08345382338188023,0.06638463007006681,0.017069193311813446,0.3637031486476092,0.43279660091606986,0.2035002504363209
ip5-s0,5,injected,11,1.023872059016339,false,0.06032901320166084,-0.038611389777751415,-0.0217176234239094,0.7595254472108659,0.14919449816007593,0.09128005462905825
ip5-s0,5,injected,12,0.9836450965559504,false,0.07151341422407331,-0.04600775518570749,-0.025505659038365824,0.8571357971539016,0.08592855702247099,0.05693564582362738
ip5-s0,5,injected,13,1.0101025778916637,false,-0.05947327082503018,0.03940570531287754,0.020067565512152635,0.49202692788096336,0.32463233683204695,0.18334073528698974
ip5-s0,5,injected,14,0.9644862081780736,false,0.08428057178592696,-0.053776638901341656,-0.03050393288458536,0.9117331324257905,0.05343022809752715,0.03483663947668244
ip5-s0,5,injected,15,1.026253672299099,false,-0.04118408995944678,0.018388101233805854,0.02279598872564098,0.5777981650604713,0.24020272298001052,0.1819991119595182
ip5-s0,5,injected,16,0.9984975015548159,false,0.019588106079385104,-0.008246829834728742,-0.011341276244656362,0.7391880618971309,0.16980772065203442,0.09100421745083472
ip5-s0,5,injected,17,0.9846468502517864,false,-0.09588519638165283,0.06716921200450385,0.028715984377148923,0.37386515977305645,0.41294769694808087,0.21318714327886262
ip5-s0,5,injected,18,1.0148145487840528,false,-0.04235444546862299,0.027883064129465007,0.014471381339157957,0.4564157997681697,0.3491630827024554,0.19442111752937494
ip5-s0,5,injected,19,0.9642547419676897,false,-0.07821337980184306,0.057839509921673915,0.02037386988016912,0.29453157318881307,0.47690096613928346,0.22856746067190353
ip5-s1,5,control,0,1.0513465294117492,false,0.16294199460846276,-0.07759191164353407,-0.08535008296492874,0.8764733153615426,0.0746936278548865,0.04883305678357083
ip5-s1,5,control,1,1.0118839897400176,false,0.11308175437419477,-0.05361255834050782,-0.05946919603368689,0.873214509189112,0.07703289388810648,0.0497525969227816
ip5-s1,5,control,2,1.0123861733104915,false,0.0438407034084628,-0.013044206840070682,-0.030796496568392145,0.7554927603442003,0.15864817388238917,0.08585906577341057
