trial_id,soft_combat,soft_collect,soft_explore,delta_combat,delta_collect,delta_explore,mlp_output,target_multiplier,multiplier_clamped
0,0,0,1,-1,-1,-1,1.0450809843538704,1.2269599687077408,false
1,0,0,1,-1,-1,-0.5,0.9578020662776157,1.0524021325552313,false
2,0,0,1,-1,-1,0,0.8482183146576552,0.8332346293153103,false
3,0,0,1,-1,-1,0.5,0.821242196580996,0.7792823931619919,false
4,0,0,1,-1,-1,1,0.7635778507122979,0.6639537014245958,false
5,0,0,1,-1,-0.5,-1,1.1472048289521193,1.4,true
6,0,0,1,-1,-0.5,-0.5,1.030506907972021,1.197811815944042,false
7,0,0,1,-1,-0.5,0,0.8710334085364116,0.8788648170728233,false
8,0,0,1,-1,-0.5,0.5,0.763712728845249,0.664223457690498,false
9,0,0,1,-1,-0.5,1,0.7485762788046542,0.6339505576093083,false
10,0,0,1,-1,0,-1,1.328653305409123,1.4,true
11,0,0,1,-1,0,-0.5,1.1151618199710427,1.3671216399420854,false
12,0,0,1,-1,0,0,0.9526901738295995,1.042178347659199,false
13,0,0,1,-1,0,0.5,0.7948188808400539,0.7264357616801078,false
14,0,0,1,-1,0,1,0.6328736800077889,0.6,true
15,0,0,1,-1,0.5,-1,1.4155287488471646,1.4,true
16,0,0,1,-1,0.5,-0.5,1.1837315888057052,1.4,true
17,0,0,1,-1,0.5,0,1.048501108829334,1.2338002176586678,false
18,0,0,1,-1,0.5,0.5,0.8393262789305704,0.8154505578611408,false
19,0,0,1,-1,0.5,1,0.5796887494906992,0.6,true
20,0,0,1,-1,1,-1,1.4519534767090425,1.4,true
21,0,0,1,-1,1,-0.5,1.2140904299606856,1.4,true
22,0,0,1,-1,1,0,0.9980425534987457,1.1328831069974914,false
23,0,0,1,-1,1,0.5,0.7667335223718964,0.6702650447437928,false
24,0,0,1,-1,1,1,0.5354244912450478,0.6,true
25,0,0,1,-0.5,-1,-1,1.0043670059585375,1.1455320119170749,false
26,0,0,1,-0.5,-1,-0.5,0.9516351115275019,1.0400682230550038,false
27,0,0,1,-0.5,-1,0,0.8834576545056178,0.9037133090112355,false
28,0,0,1,-0.5,-1,0.5,0.8518271018234811,0.8404522036469622,false
29,0,0,1,-0.5,-1,1,0.7941627559547828,0.7251235119095656,false
30,0,0,1,-0.5,-0.5,-1,1.1567413240547677,1.4,true
31,0,0,1,-0.5,-0.5,-0.5,0.9715679896657365,1.079933979331473,false
32,0,0,1,-0.5,-0.5,0,0.867994993871863,0.8727879877437259,false
33,0,0,1,-0.5,-0.5,0.5,0.7923347451070704,0.7214674902141407,false
34,0,0,1,-0.5,-0.5,1,0.7729725694143231,0.6827431388286462,false
35,0,0,1,-0.5,0,-1,1.26356953990428,1.4,true
36,0,0,1,-0.5,0,-0.5,1.0395971156803507,1.2159922313607014,false
37,0,0,1,-0.5,0,0,0.9109122088041878,0.9586224176083755,false
38,0,0,1,-0.5,0,0.5,0.8052735438874989,0.7473450877749979,false
39,0,0,1,-0.5,0,1,0.7148246689387253,0.6,true
40,0,0,1,-0.5,0.5,-1,1.3161912864142813,1.4,true
41,0,0,1,-0.5,0.5,-0.5,1.0783282396659248,1.2934544793318496,false
42,0,0,1,-0.5,0.5,0,0.8775123176423009,0.8918226352846017,false
43,0,0,1,-0.5,0.5,0.5,0.8029672190243784,0.7427324380487568,false
44,0,0,1,-0.5,0.5,1,0.626111140710215,0.6,true
45,0,0,1,-0.5,1,-1,1.3464563749423375,1.4,true
46,0,0,1,-0.5,1,-0.5,1.1147529675278027,1.3663039350556054,false
47,0,0,1,-0.5,1,0,0.8768899207794458,0.8905778415588916,false
48,0,0,1,-0.5,1,0.5,0.6431451452883874,0.6,true
49,0,0,1,-0.5,1,1,0.4830805881321952,0.6,true
50,0,0,1,0,-1,-1,1.017483015617167,1.171764031234334,false
51,0,0,1,0,-1,-0.5,0.8586196024405601,0.8540372048811202,false
52,0,0,1,0,-1,0,0.8576051586893892,0.8520083173787785,false
53,0,0,1,0,-1,0.5,0.8474000378888981,0.8315980757777961,false
54,0,0,1,0,-1,1,0.8119266517708782,0.7606513035417564,false
55,0,0,1,0,-0.5,-1,1.1213906297598115,1.379579259519623,false
56,0,0,1,0,-0.5,-0.5,1.0023501582928955,1.141498316585791,false
57,0,0,1,0,-0.5,0,0.8529410998483244,0.8426801996966489,false
58,0,0,1,0,-0.5,0.5,0.8211930112038605,0.7791840224077209,false
59,0,0,1,0,-0.5,1,0.7979980387158156,0.7327940774316313,false
60,0,0,1,0,0,-1,1.1711158815223799,1.4,true
61,0,0,1,0,0,-0.5,1.0087115968071023,1.1542211936142046,false
62,0,0,1,0,0,0,0.85867779001917,0.85415358003834,false
63,0,0,1,0,0,0.5,0.791140203073521,0.7190784061470419,false
64,0,0,1,0,0,1,0.7553951947765404,0.6475883895530807,false
65,0,0,1,0,0.5,-1,1.2065069806732749,1.4,true
66,0,0,1,0,0.5,-0.5,1.0114386212763975,1.159675242552795,false
67,0,0,1,0,0.5,0,0.8490343365611196,0.8348666731222392,false
68,0,0,1,0,0.5,0.5,0.7488076397645999,0.6344132795291997,false
69,0,0,1,0,0.5,1,0.6281017910220622,0.6,true
70,0,0,1,0,1,-1,1.1884691764126893,1.4,true
71,0,0,1,0,1,-0.5,0.9684845474734635,1.073767094946927,false
72,0,0,1,0,1,0,0.7984951497086411,0.7337882994172822,false
73,0,0,1,0,1,0.5,0.6238909991559747,0.6,true
74,0,0,1,0,1,1,0.473288404208771,0.6,true
75,0,0,1,0.5,-1,-1,0.9740565109882209,1.0849110219764417,false
76,0,0,1,0.5,-1,-0.5,0.8943278615385996,0.9254537230771991,false
77,0,0,1,0.5,-1,0,0.8071584702203439,0.7511149404406878,false
78,0,0,1,0.5,-1,0.5,0.7910361719928969,0.7188703439857937,false
79,0,0,1,0.5,-1,1,0.7555627858748767,0.6479235717497533,false
80,0,0,1,0.5,-0.5,-1,1.0960542346379598,1.3289064692759196,false
81,0,0,1,0.5,-0.5,-0.5,0.9584161326926902,1.0536302653853804,false
82,0,0,1,0.5,-0.5,0,0.8297424497288204,0.7962828994576407,false
83,0,0,1,0.5,-0.5,0.5,0.8092342608334177,0.7552665216668353,false
84,0,0,1,0.5,-0.5,1,0.804387020286949,0.7455720405738979,false
85,0,0,1,0.5,0,-1,1.1491153059249615,1.4,true
86,0,0,1,0.5,0,-0.5,0.9864255765921293,1.1096491531842585,false
87,0,0,1,0.5,0,0,0.8237358472592972,0.7842696945185943,false
88,0,0,1,0.5,0,0.5,0.7373728633701268,0.6115437267402535,false
89,0,0,1,0.5,0,1,0.7841694155259719,0.7051368310519437,false
90,0,0,1,0.5,0.5,-1,1.1222799809170882,1.3813579618341765,false
91,0,0,1,0.5,0.5,-0.5,0.9783020043380566,1.0934020086761131,false
92,0,0,1,0.5,0.5,0,0.8298672724775137,0.7965325449550273,false
93,0,0,1,0.5,0.5,0.5,0.6694819999384044,0.6,true
94,0,0,1,0.5,0.5,1,0.6118063570328612,0.6,true
95,0,0,1,0.5,1,-1,1.044771484263585,1.2263409685271698,false
96,0,0,1,0.5,1,-0.5,0.9002456173574376,0.9372892347148751,false
97,0,0,1,0.5,1,0,0.75571975045129,0.64823750090258,false
98,0,0,1,0.5,1,0.5,0.6065958996195696,0.6,true
99,0,0,1,0.5,1,1,0.4061104203506765,0.6,true
100,0,0,1,1,-1,-1,0.9102461184344527,0.9572902368689054,false
101,0,0,1,1,-1,-0.5,0.8888858066419605,0.914569613283921,false
102,0,0,1,1,-1,0,0.8166216830686883,0.7700413661373766,false
103,0,0,1,1,-1,0.5,0.7431535092875783,0.6231050185751565,false
104,0,0,1,1,-1,1,0.6978499739651416,0.6,true
105,0,0,1,1,-0.5,-1,1.0611232095723273,1.2590444191446546,false
106,0,0,1,1,-0.5,-0.5,0.9154395229880299,0.9676770459760597,false
107,0,0,1,1,-0.5,0,0.8438667535867944,0.8245315071735888,false
108,0,0,1,1,-0.5,0.5,0.7749894027975354,0.6867768055950707,false
109,0,0,1,1,-0.5,1,0.7677170289648823,0.6722320579297645,false
110,0,0,1,1,0,-1,1.1021570255383668,1.3411120510767336,false
111,0,0,1,1,0,-0.5,0.9554540339633929,1.0477060679267858,false
112,0,0,1,1,0,0,0.788649146555849,0.7140962931116979,false
113,0,0,1,1,0,0.5,0.7179014198391644,0.6,true
114,0,0,1,1,0,1,0.7401694012188536,0.6171368024377071,false
115,0,0,1,1,0.5,-1,1.0608634849846281,1.2585249699692562,false
116,0,0,1,1,0.5,-0.5,0.89828597482999,0.9333699496599799,false
117,0,0,1,1,0.5,0,0.7448117606810922,0.6264215213621844,false
118,0,0,1,1,0.5,0.5,0.6000004491573905,0.6,true
119,0,0,1,1,0.5,1,0.5585339682319977,0.6,true
120,0,0,1,1,1,-1,1.0003528769234633,1.1375037538469266,false
