Player ID,Duration (minutes),Data points
6974892348d53c4152cf1421,45.0,90
6974acd8315a39e91bc1e52f,45.0,90
6974f3cc5d8e98b89f0a5d07,45.0,90
697502455d8e98b89f0a9f38,45.0,90
69757efd2890de71026a214a,45.0,90
69758a65547a2b541d10f4ed,45.0,90
69759b30547a2b541d1151be,45.0,90
6975de91547a2b541d1316de,45.0,90
6975bb0f547a2b541d12403a,42.0,84
697591f4547a2b541d110076,41.0,82
6975c2cc547a2b541d126357,41.0,82
69750fec5d8e98b89f0ad5bf,40.5,81
69760118547a2b541d143012,39.0,78
6975f086547a2b541d1382d1,38.5,77
69759b27547a2b541d115092,38.5,77
6975c01c547a2b541d125214,37.5,75
69763bb42a3f474ff67728f0,36.5,73
6975b1c0547a2b541d12114d,36.0,72
6975bcc3547a2b541d124470,35.5,71
6975b3d4547a2b541d121ebf,35.5,71
6975f12b547a2b541d13855a,34.5,69
697508c85d8e98b89f0aa5f3,34.5,69
69763ab22a3f474ff67723b9,34.0,68
6976a755ab5e69452c71eb4d,33.5,67
697633cc2a3f474ff6770c8b,33.5,67
6975aae1547a2b541d11f1d0,33.0,66
69760904547a2b541d146a9a,32.5,65
697591b7547a2b541d110069,31.5,63
6975f4c8547a2b541d13aad8,31.0,62
697516fa5d8e98b89f0afa2d,31.0,62
6976f80091363da66295382d,30.0,60
697646c92a3f474ff6778d78,29.5,59
6974f5555d8e98b89f0a5fa5,29.0,58
69759b25547a2b541d115085,29.0,58
6975d4f7547a2b541d12d86e,24.5,49
69760ebe547a2b541d14aa2d,23.0,46
697665162a3f474ff677cb25,21.5,43
6975cbcf547a2b541d12a5d8,20.5,41
